Z,A,E0,ThetaDeg,nu,cross,error
6,12,1.2044,16.01,0.8729,17554,357.946
6,12,1.2044,16.01,0.88494,17116,353.453
6,12,1.2044,16.01,0.89698,17444.5,356.828
6,12,1.2044,16.01,0.90902,16568.6,347.755
6,12,1.2044,16.01,0.92106,17167.1,353.98
6,12,1.2044,16.01,0.9331,15999.3,341.728
6,12,1.2044,16.01,0.94514,15802.2,339.617
6,12,1.2044,16.01,0.95718,13254.9,311.041
6,12,1.2044,16.01,0.96922,9890.07,268.677
6,12,1.2044,16.01,0.98126,9211.27,259.292
6,12,1.2044,16.01,0.9933,6109.22,211.165
6,12,1.2044,16.01,1.00534,3883.04,168.351
6,12,1.2044,16.01,1.01738,1394.1,100.873
6,12,1.2044,16.01,1.02942,14.5979,10.3223
6,12,1.2044,16.01,1.04146,0,0
6,12,1.2044,16.01,1.0535,0,0
6,12,1.2044,16.01,1.06554,0,0
6,12,1.2044,16.01,1.07758,0,0
6,12,1.2044,16.01,1.08962,0,0
6,12,1.2044,16.01,1.10166,0,0
6,12,1.2044,16.01,1.1137,0,0
6,12,1.2044,16.01,1.12574,0,0
6,12,1.2044,16.01,1.13778,0,0
6,12,1.2044,16.01,1.14982,0,0
6,12,1.2044,16.01,1.16186,0,0
6,12,1.2044,16.01,1.1739,0,0
6,12,1.2044,16.01,1.18594,0,0
6,12,1.2044,19.01,0.00602,3986.21,156.957
6,12,1.2044,19.01,0.01806,23614.4,382.023
6,12,1.2044,19.01,0.0301,47791.3,543.469
6,12,1.2044,19.01,0.04214,77839.3,693.585
6,12,1.2044,19.01,0.05418,104989,805.511
6,12,1.2044,19.01,0.06622,121935,868.089
6,12,1.2044,19.01,0.07826,132008,903.236
6,12,1.2044,19.01,0.0903,132435,904.693
6,12,1.2044,19.01,0.10234,127608,888.054
6,12,1.2044,19.01,0.11438,115390,844.47
6,12,1.2044,19.01,0.12642,100935,789.806
6,12,1.2044,19.01,0.13846,87727.5,736.323
6,12,1.2044,19.01,0.1505,71102.9,662.894
6,12,1.2044,19.01,0.16254,58841.4,603.034
6,12,1.2044,19.01,0.17458,47927.2,544.241
6,12,1.2044,19.01,0.18662,38088.4,485.173
6,12,1.2044,19.01,0.19866,32155.4,445.787
6,12,1.2044,19.01,0.2107,27458.5,411.944
6,12,1.2044,19.01,0.22274,24739.2,391.015
6,12,1.2044,19.01,0.23478,22514.4,373.018
6,12,1.2044,19.01,0.24682,21760.4,366.719
6,12,1.2044,19.01,0.25886,21544.1,364.892
6,12,1.2044,19.01,0.2709,21253.6,362.424
6,12,1.2044,19.01,0.28294,21340.1,363.161
6,12,1.2044,19.01,0.29498,21834.5,367.343
6,12,1.2044,19.01,0.30702,21822.2,367.239
6,12,1.2044,19.01,0.31906,23045.9,377.395
6,12,1.2044,19.01,0.3311,23670.1,382.472
6,12,1.2044,19.01,0.34314,24362.2,388.024
6,12,1.2044,19.01,0.35518,26964.1,408.219
6,12,1.2044,19.01,0.36722,28212.5,417.562
6,12,1.2044,19.01,0.37926,28762.5,421.613
6,12,1.2044,19.01,0.3913,29757.5,428.843
6,12,1.2044,19.01,0.40334,29213.7,424.906
6,12,1.2044,19.01,0.41538,28589.5,420.343
6,12,1.2044,19.01,0.42742,28416.4,419.068
6,12,1.2044,19.01,0.43946,27081.5,409.107
6,12,1.2044,19.01,0.4515,25573.5,397.554
6,12,1.2044,19.01,0.46354,24535.3,389.4
6,12,1.2044,19.01,0.47558,23274.5,379.263
6,12,1.2044,19.01,0.48762,22230.1,370.656
6,12,1.2044,19.01,0.49966,20703.6,357.703
6,12,1.2044,19.01,0.5117,19980.5,351.401
6,12,1.2044,19.01,0.52374,18997.8,342.651
6,12,1.2044,19.01,0.53578,17527,329.12
6,12,1.2044,19.01,0.54782,17051.1,324.621
6,12,1.2044,19.01,0.55986,15654.4,311.041
6,12,1.2044,19.01,0.5719,14980.7,304.275
6,12,1.2044,19.01,0.58394,14844.8,302.891
6,12,1.2044,19.01,0.59598,13534.6,289.216
6,12,1.2044,19.01,0.60802,13287.4,286.563
6,12,1.2044,19.01,0.62006,12762.1,280.841
6,12,1.2044,19.01,0.6321,12650.8,279.614
6,12,1.2044,19.01,0.64414,12904.2,282.401
6,12,1.2044,19.01,0.65618,11989.5,272.208
6,12,1.2044,19.01,0.66822,12521,278.176
6,12,1.2044,19.01,0.68026,12966,283.076
6,12,1.2044,19.01,0.6923,12638.5,279.478
6,12,1.2044,19.01,0.70434,12910.4,282.468
6,12,1.2044,19.01,0.71638,13126.7,284.825
6,12,1.2044,19.01,0.72842,13071.1,284.221
6,12,1.2044,19.01,0.74046,13231.7,285.962
6,12,1.2044,19.01,0.7525,12453,277.42
6,12,1.2044,19.01,0.76454,12978.4,283.211
6,12,1.2044,19.01,0.77658,12768.2,280.909
6,12,1.2044,19.01,0.78862,13293.5,286.629
6,12,1.2044,19.01,0.80066,12990.7,283.346
6,12,1.2044,19.01,0.8127,12539.6,278.382
6,12,1.2044,19.01,0.82474,12978.4,283.211
6,12,1.2044,19.01,0.83678,12564.3,278.657
6,12,1.2044,19.01,0.84882,12471.6,277.627
6,12,1.2044,19.01,0.86086,12057.5,272.979
6,12,1.2044,19.01,0.8729,12348,276.247
6,12,1.2044,19.01,0.88494,11711.4,269.033
6,12,1.2044,19.01,0.89698,11915.4,271.365
6,12,1.2044,19.01,0.90902,11322.1,264.523
6,12,1.2044,19.01,0.92106,11099.6,261.911
6,12,1.2044,19.01,0.9331,10945.1,260.082
6,12,1.2044,19.01,0.94514,11037.8,261.181
6,12,1.2044,19.01,0.95718,10858.6,259.052
6,12,1.2044,19.01,0.96922,10833.8,258.757
6,12,1.2044,19.01,0.98126,10574.3,255.638
6,12,1.2044,19.01,0.9933,10215.8,251.268
6,12,1.2044,19.01,1.00534,9665.79,244.41
6,12,1.2044,19.01,1.01738,9474.2,241.976
6,12,1.2044,19.01,1.02942,8349.41,227.158
