bin_index,qvcenter,EX_RL,RL,EX_RT,RT,nu_RL,nu_RT
2,0.167,0.017192,0.0192132,0.018108,0.0163008,0.018424311,0.019338766
2,0.167,0.017373,0.0170424,0.018283,0.0159408,0.018605012,0.019513463
2,0.167,0.01756,0.0155628,0.018441,0.0135684,0.018791699,0.019671186
2,0.167,0.017688,0.0157428,0.018623,0.0110592,0.018919484,0.019852865
2,0.167,0.01785,0.0160956,0.018793,0.0115128,0.019081209,0.020022562
2,0.167,0.018014,0.016524,0.018924,0.013752,0.019244928,0.020153327
2,0.167,0.018185,0.0184716,0.019024,0.0166032,0.019415633,0.020253147
2,0.167,0.018311,0.0210456,0.019124,0.0190944,0.019541414,0.020352966
2,0.167,0.01843,0.0234,0.019209,0.0219132,0.019660206,0.020437811
2,0.167,0.018586,0.0261252,0.019325,0.024876,0.019815931,0.020553599
2,0.167,0.018745,0.026244,0.019487,0.0274536,0.019974648,0.0207153
2,0.167,0.01895,0.0245556,0.019687,0.0256104,0.020179281,0.020914928
2,0.167,0.019089,0.0236916,0.019768,0.023004,0.020318029,0.020995777
2,0.167,0.019245,0.0229428,0.01988,0.0206028,0.020473745,0.021107566
2,0.167,0.019411,0.0235188,0.020027,0.0172332,0.02063944,0.021254288
2,0.167,0.019603,0.0244296,0.02022,0.0159372,0.020831085,0.02144692
2,0.167,0.019768,0.0253512,0.02038,0.0155772,0.020995777,0.021606613
2,0.167,0.019949,0.0258804,0.020536,0.0153684,0.021176436,0.021762311
2,0.167,0.020095,0.0261684,0.020694,0.0154044,0.021322159,0.021920003
2,0.167,0.020259,0.0269064,0.020876,0.0151272,0.021485846,0.022101645
2,0.167,0.020423,0.0282744,0.021045,0.0150948,0.02164953,0.02227031
2,0.167,0.020593,0.0305568,0.021238,0.0146016,0.0218192,0.022462925
2,0.167,0.020774,0.033624,0.021446,0.0141804,0.021999846,0.022670506
2,0.167,0.020893,0.0358344,0.021616,0.014598,0.022118611,0.02284016
2,0.167,0.021019,0.0388764,0.021809,0.01584,0.022244362,0.023032765
2,0.167,0.021194,0.04248,0.021971,0.0166824,0.022419013,0.023194431
2,0.167,0.02127,0.0448416,0.022141,0.0173304,0.02249486,0.023364077
2,0.167,0.021376,0.0477288,0.022302,0.01809,0.022600647,0.02352474
2,0.167,0.021413,0.0494892,0.022473,0.0181368,0.022637572,0.02369538
2,0.167,0.021496,0.0522396,0.02265,0.0196596,0.022720404,0.023872004
2,0.167,0.021614,0.0560772,0.022851,0.0178848,0.022838164,0.024072574
2,0.167,0.02179,0.0593316,0.023027,0.0162072,0.023013804,0.024248195
2,0.167,0.021984,0.060516,0.023157,0.0146592,0.023207404,0.024377912
2,0.167,0.022126,0.058356,0.023308,0.0137592,0.023349109,0.024528583
2,0.167,0.022241,0.0571896,0.023483,0.0136728,0.023463868,0.024703198
2,0.167,0.022422,0.055026,0.023653,0.0135504,0.023644488,0.024872822
2,0.167,0.022561,0.0521208,0.023823,0.0143784,0.023783194,0.025042443
2,0.167,0.02271,0.0508572,0.024008,0.0145584,0.023931876,0.025227028
2,0.167,0.022861,0.0495972,0.024169,0.0148428,0.024082553,0.025387665
2,0.167,0.023025,0.0487944,0.024313,0.0147744,0.024246199,0.025531337
2,0.167,0.023188,0.04959,0.024496,0.0140508,0.024408845,0.025713919
2,0.167,0.023362,0.0513756,0.024659,0.012996,0.024582464,0.025876544
2,0.167,0.023534,0.053874,0.024841,0.012942,0.024754086,0.026058122
2,0.167,0.023679,0.0546624,0.025011,0.0136116,0.024898764,0.026227725
2,0.167,0.023826,0.054648,0.025241,0.014436,0.025045437,0.026457184
2,0.167,0.024013,0.052776,0.025429,0.013428,0.025232017,0.026644739
2,0.167,0.024192,0.0491328,0.025629,0.0128628,0.025410612,0.026844261
