Z A E0 ThetaDeg nu cross error dataSet
 20  40  0.2400  90.000  0.0925  2.258e+04  1.034e+03 Meziani:1984is 
 20  40  0.2400  90.000  0.0975  2.018e+04  9.968e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1025  1.804e+04  9.438e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1075  1.624e+04  9.008e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1125  1.329e+04  8.110e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1175  1.242e+04  8.018e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1225  9.478e+03  7.065e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1275  8.695e+03  7.175e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1325  7.161e+03  7.163e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1375  5.999e+03  7.526e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.1425  5.524e+03  8.572e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0025  3.650e+01  6.100e+00 Meziani:1984is 
 20  40  0.2400 140.000  0.0075  7.390e+01  5.200e+00 Meziani:1984is 
 20  40  0.2400 140.000  0.0125  3.372e+02  1.290e+01 Meziani:1984is 
 20  40  0.2400 140.000  0.0175  1.032e+03  4.190e+01 Meziani:1984is 
 20  40  0.2400 140.000  0.0225  1.424e+03  5.430e+01 Meziani:1984is 
 20  40  0.2400 140.000  0.0275  1.806e+03  6.700e+01 Meziani:1984is 
 20  40  0.2400 140.000  0.0325  2.377e+03  8.600e+01 Meziani:1984is 
 20  40  0.2400 140.000  0.0375  2.971e+03  1.064e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0425  3.565e+03  1.273e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0475  3.935e+03  1.423e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0525  4.712e+03  1.708e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0575  5.123e+03  1.846e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0625  5.674e+03  2.262e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0675  6.145e+03  2.481e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0725  6.886e+03  2.800e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0775  7.579e+03  3.119e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0825  7.493e+03  3.180e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0875  8.085e+03  3.488e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0925  8.292e+03  3.537e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.0975  8.188e+03  3.729e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1025  8.026e+03  3.782e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1075  8.071e+03  3.915e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1125  7.888e+03  3.957e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1175  7.262e+03  3.815e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1225  6.563e+03  3.527e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1275  5.730e+03  3.263e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1325  5.138e+03  3.080e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1375  4.575e+03  2.894e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1425  4.210e+03  2.791e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1475  3.408e+03  2.451e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1525  3.009e+03  2.330e+02 Meziani:1984is 
 20  40  0.2400 140.000  0.1575  2.746e+03  2.301e+02 Meziani:1984is 
 20  40  0.2480  90.000  0.0031  9.749e+02  2.083e+01 Williamson:1997 
 20  40  0.2480  90.000  0.0068  5.719e+03  4.111e+01 Williamson:1997 
 20  40  0.2480  90.000  0.0120  7.366e+03  8.200e+01 Williamson:1997 
 20  40  0.2480  90.000  0.0185  1.080e+04  1.285e+02 Williamson:1997 
 20  40  0.2480  90.000  0.0289  1.387e+04  1.592e+02 Williamson:1997 
 20  40  0.2480  90.000  0.0408  1.791e+04  2.168e+02 Williamson:1997 
 20  40  0.2480  90.000  0.0496  2.112e+04  2.281e+02 Williamson:1997 
 20  40  0.2480  90.000  0.0601  2.280e+04  2.521e+02 Williamson:1997 
 20  40  0.2480  90.000  0.0730  2.296e+04  3.187e+02 Williamson:1997 
 20  40  0.2480  90.000  0.0832  2.202e+04  2.925e+02 Williamson:1997 
 20  40  0.2480  90.000  0.0935  1.929e+04  2.747e+02 Williamson:1997 
 20  40  0.2480  90.000  0.1056  1.532e+04  2.619e+02 Williamson:1997 
 20  40  0.2480  90.000  0.1178  1.069e+04  2.524e+02 Williamson:1997 
 20  40  0.2480  90.000  0.1294  7.011e+03  1.593e+02 Williamson:1997 
 20  40  0.2480  90.000  0.1397  4.985e+03  1.540e+02 Williamson:1997 
 20  40  0.2490 140.000  0.0033  3.006e+00  2.329e+00 Williamson:1997 
 20  40  0.2490 140.000  0.0073  6.606e+01  5.566e+00 Williamson:1997 
 20  40  0.2490 140.000  0.0103  1.207e+02  6.294e+00 Williamson:1997 
 20  40  0.2490 140.000  0.0158  6.583e+02  1.889e+01 Williamson:1997 
 20  40  0.2490 140.000  0.0386  2.303e+03  3.151e+01 Williamson:1997 
 20  40  0.2490 140.000  0.0539  3.547e+03  4.503e+01 Williamson:1997 
 20  40  0.2490 140.000  0.0693  5.122e+03  6.120e+01 Williamson:1997 
 20  40  0.2490 140.000  0.0847  6.115e+03  7.586e+01 Williamson:1997 
 20  40  0.2490 140.000  0.0931  6.858e+03  6.582e+01 Williamson:1997 
 20  40  0.2490 140.000  0.1037  6.900e+03  8.107e+01 Williamson:1997 
 20  40  0.2490 140.000  0.1254  5.772e+03  7.619e+01 Williamson:1997 
 20  40  0.2490 140.000  0.1463  3.745e+03  6.621e+01 Williamson:1997 
 20  40  0.2490 140.000  0.1566  3.001e+03  6.152e+01 Williamson:1997 
 20  40  0.2490 140.000  0.1669  2.398e+03  6.006e+01 Williamson:1997 
 20  40  0.2490 140.000  0.1778  2.138e+03  7.538e+01 Williamson:1997 
 20  40  0.2800  60.000  0.0075  8.682e+04  2.739e+03 Meziani:1984is 
 20  40  0.2800  60.000  0.0125  6.160e+04  2.006e+03 Meziani:1984is 
 20  40  0.2800  60.000  0.0175  7.369e+04  2.321e+03 Meziani:1984is 
 20  40  0.2800  60.000  0.0225  7.774e+04  2.499e+03 Meziani:1984is 
 20  40  0.2800  60.000  0.0275  7.437e+04  2.457e+03 Meziani:1984is 
 20  40  0.2800  60.000  0.0325  7.841e+04  2.626e+03 Meziani:1984is 
 20  40  0.2800  60.000  0.0375  9.109e+04  3.030e+03 Meziani:1984is 
 20  40  0.2800  60.000  0.0425  8.799e+04  2.997e+03 Meziani:1984is 
