Z,A,E0,ThetaDeg,nu,cross,error,dataSet,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.1503,90.0,0.01869,95613.0,1465.7,Altemus:1973,68793.816,1187.0040000000001,0.0,146.432,67460.38,1333.436,1.38984876198756
26,56,0.1503,90.0,0.02479,90954.0,1483.4,Altemus:1973,91853.84,26577.98,0.0,2086.7599999999998,63189.09999999999,28664.74,0.9902035668840846
26,56,0.1503,90.0,0.03092,97369.0,1583.7,Altemus:1973,86214.076,50509.41999999999,0.0,3785.5999999999995,31919.056000000004,54295.01999999999,1.1293863428983453
26,56,0.1503,90.0,0.03703,95254.0,1639.1,Altemus:1973,86958.924,64313.859999999986,0.0,4684.628,17960.436,68998.488,1.0953907387354518
26,56,0.1503,90.0,0.04315,93147.0,1712.0,Altemus:1973,84929.468,70076.916,0.0,5015.919999999999,9836.58,75092.836,1.09675713499112
26,56,0.1503,90.0,0.04927,89152.0,1801.0,Altemus:1973,77068.368,67946.31999999999,0.0,4842.552000000001,4279.496,72788.872,1.156791071532746
26,56,0.1503,90.0,0.05542,74843.0,1864.0,Altemus:1973,66185.028,60177.884000000005,1.8199999999999996,4305.704,1699.62,64485.407999999996,1.1308146609834477
26,56,0.1503,90.0,0.06156,61899.0,2017.3,Altemus:1973,53827.903999999995,49765.768000000004,9.36,3574.2199999999993,478.608,53349.295999999995,1.149942602260716
26,56,0.1503,90.0,0.06772,50044.0,2318.0,Altemus:1973,41902.587999999996,39006.60399999999,21.787999999999997,2792.1919999999996,82.00399999999999,41820.58399999999,1.1942937748856945
26,56,0.1507,160.0,0.00291,322.706223,36.213,Altemus:1973,0.468,0.0,0.0,0.0,0.468,0.0,689.5432115384615
26,56,0.1507,160.0,0.0066,1568.8926,54.899,Altemus:1973,741.468,0.0,0.0,0.0,741.468,0.0,2.1159275922898897
26,56,0.1507,160.0,0.01271,3474.13122,97.339,Altemus:1973,1046.552,0.0,0.0,0.0,1046.552,0.0,3.3195973253120727
26,56,0.1507,160.0,0.01791,5620.93236,126.87,Altemus:1973,1558.5959999999998,0.0,0.0,0.0,1558.5959999999998,0.0,3.6064075360131813
26,56,0.1507,160.0,0.02311,7589.26971,151.41,Altemus:1973,15249.155999999999,2159.1440000000002,0.0,666.016,12423.996,2825.16,0.49768457414954637
26,56,0.1507,160.0,0.02833,9093.7998,169.93,Altemus:1973,9696.699999999999,6601.608,0.0,1977.7159999999997,1117.4279999999999,8579.324,0.9378241876102181
26,56,0.1507,160.0,0.03356,10742.13,190.34,Altemus:1973,12709.527999999998,9479.496,0.0,2894.2159999999994,335.81600000000003,12373.711999999998,0.8452029060402558
26,56,0.1507,160.0,0.03882,11682.7434,204.1,Altemus:1973,15726.1,11861.98,2.1319999999999997,3667.3520000000003,194.63599999999997,15531.464,0.7428887899733564
26,56,0.1507,160.0,0.04409,12667.5891,218.66,Altemus:1973,18126.055999999997,13721.915999999997,3.379999999999999,4238.728,162.03199999999998,17964.023999999998,0.6988607505129633
26,56,0.1507,160.0,0.04937,13903.3854,235.12,Altemus:1973,19623.708000000002,14946.048000000003,7.2799999999999985,4555.719999999999,114.66,19509.048000000003,0.7084994028651465
26,56,0.1507,160.0,0.05464,14773.5882,249.61,Altemus:1973,20142.564000000002,15458.196,12.168,4604.807999999999,67.392,20075.172,0.7334512229922665
26,56,0.1507,160.0,0.06036,14900.8689,260.46,Altemus:1973,19630.156,15201.94,18.199999999999996,4383.028,26.987999999999996,19603.167999999998,0.7590805136749805
