E0,Ep,theta,Q2,xs,err,f1f221,ratio,,dataSet
0.1305,0.0594,140,0.9864,1.63E+04,4.30E+02,1.22E+04,1.34162,,Altemus-1973
0.1507,0.1328,160,0.8364,6.23E+03,1.27E+02,7.51E+03,0.82904,,Altemus-1973
0.1507,0.1276,160,0.8491,8.41E+03,1.51E+02,1.05E+04,0.80024,,Altemus-1973
0.1507,0.1224,160,0.862,1.01E+04,1.70E+02,1.31E+04,0.76954,,Altemus-1973
0.1507,0.1171,160,0.8749,1.19E+04,1.90E+02,1.49E+04,0.79893,,Altemus-1973
0.1507,0.1119,160,0.8878,1.29E+04,2.04E+02,1.61E+04,0.8048,,Altemus-1973
0.1507,0.1066,160,0.9008,1.40E+04,2.19E+02,1.67E+04,0.84227,,Altemus-1973
0.1507,0.1013,160,0.9138,1.54E+04,2.35E+02,1.67E+04,0.92322,,Altemus-1973
0.1507,0.0961,160,0.9267,1.64E+04,2.50E+02,1.62E+04,1.00807,,Altemus-1973
0.1507,0.0903,160,0.9408,1.65E+04,2.60E+02,1.53E+04,1.0758,,Altemus-1973
0.1507,0.0852,160,0.9534,1.59E+04,2.65E+02,1.43E+04,1.11232,,Altemus-1973
0.1507,0.08,160,0.9663,1.52E+04,2.72E+02,1.31E+04,1.15954,,Altemus-1973
0.1507,0.0748,160,0.9791,1.39E+04,2.74E+02,1.18E+04,1.17569,,Altemus-1973
0.1507,0.0695,160,0.9921,1.22E+04,2.73E+02,1.05E+04,1.1548,,Altemus-1973
0.1507,0.0642,160,1.0051,1.01E+04,2.70E+02,9.27E+03,1.08919,,Altemus-1973
0.1546,0.1388,180,0.8242,4.12E+03,5.40E+01,5.69E+03,0.72427,,Hotta-1994
0.1546,0.1288,180,0.8491,7.08E+03,8.10E+01,7.94E+03,0.89143,,Hotta-1994
0.1546,0.1189,180,0.8738,1.00E+04,9.40E+01,9.69E+03,1.03234,,Hotta-1994
0.1546,0.1089,180,0.8988,1.25E+04,1.17E+02,1.03E+04,1.21927,,Hotta-1994
0.1546,0.099,180,0.9235,1.43E+04,1.66E+02,9.51E+03,1.50302,,Hotta-1994
0.1546,0.089,180,0.9484,1.42E+04,1.81E+02,7.88E+03,1.80219,,Hotta-1994
0.1546,0.079,180,0.9734,1.26E+04,3.81E+02,5.92E+03,2.12813,,Hotta-1994
0.1546,0.0691,180,0.9981,1.07E+04,4.18E+02,4.09E+03,2.61492,,Hotta-1994
0.1546,0.0591,180,1.023,7.54E+03,4.12E+02,2.57E+03,2.93032,,Hotta-1994
0.1546,0.0491,180,1.048,6.81E+03,4.69E+02,1.43E+03,4.75592,,Hotta-1994
0.1546,0.0392,180,1.0727,6.17E+03,8.21E+02,6.36E+02,9.70385,,Hotta-1994
0.1503,0.1429,90,0.8514,9.52E+04,1.78E+03,5.32E+04,1.7895,,Altemus-1973
0.1503,0.1407,90,0.8561,8.81E+04,1.19E+03,5.32E+04,1.6547,,Altemus-1973
0.1503,0.1316,90,0.8759,9.56E+04,1.47E+03,7.36E+04,1.2984,,Altemus-1973
0.1503,0.1255,90,0.8892,9.10E+04,1.48E+03,8.01E+04,1.1349,,Altemus-1973
0.1503,0.1194,90,0.9025,9.74E+04,1.58E+03,8.11E+04,1.20121,,Altemus-1973
0.1503,0.1133,90,0.9158,9.53E+04,1.64E+03,7.73E+04,1.2322,,Altemus-1973
0.1503,0.1071,90,0.9291,9.31E+04,1.71E+03,7.03E+04,1.32416,,Altemus-1973
0.1503,0.101,90,0.9425,8.92E+04,1.80E+03,6.17E+04,1.44504,,Altemus-1973
0.1503,0.0949,90,0.9559,7.48E+04,1.86E+03,5.25E+04,1.4245,,Altemus-1973
0.1503,0.0887,90,0.9692,6.19E+04,2.02E+03,4.38E+04,1.41399,,Altemus-1973
0.1503,0.0826,90,0.9826,5.00E+04,2.32E+03,3.58E+04,1.39702,,Altemus-1973
0.1503,0.0723,90,1.005,3.86E+04,3.36E+03,2.48E+04,1.55311,,Altemus-1973
0.1503,0.0621,90,1.0273,2.94E+04,5.35E+03,1.66E+04,1.77546,,Altemus-1973
