qv,q2,ex,nu,W2,RLTOT,RTTOT
2.783,7.66543,0.20876,0.28224,-6.255437434431,-112382794669.08492,9339925802.388853
2.783,7.66487,0.20977,0.28324,-6.253000888431,-112154524585.42145,9320913894.65771
2.783,7.6643,0.21077,0.28424,-6.250554342431,-111925725690.32968,9301858017.385494
2.783,7.66373,0.21178,0.28524,-6.248107796431,-111697335054.64662,9282836216.222538
2.783,7.66316,0.21279,0.28624,-6.2456612504310005,-111469352054.19522,9263848438.957449
2.783,7.66258,0.21379,0.28724,-6.243204704431,-111240846706.98016,9244817231.395092
2.783,7.66201,0.2148,0.28824,-6.240758158431,-111013678767.43663,9225897484.094425
2.783,7.66143,0.2158,0.28924,-6.238301612431,-110785990558.02946,9206934479.619356
2.783,7.66085,0.21681,0.29024,-6.235845066431,-110558710808.72864,9188005567.435898
2.783,7.66027,0.21781,0.29124,-6.233388520430999,-110331838891.69543,9169110695.02712
