Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.3299,140,0.1648,5210,149,Altemus:1973
26,56,0.3299,140,0.175,5050,152,Altemus:1973
26,56,0.3299,140,0.1853,4490,146,Altemus:1973
26,56,0.3299,140,0.1956,3990,137,Altemus:1973
26,56,0.3299,140,0.2058,3860,137,Altemus:1973
26,56,0.3299,140,0.2162,3480,136,Altemus:1973
26,56,0.3488,90,0.0097,863,17.2,Altemus:1973
26,56,0.3488,90,0.0153,1010,27.5,Altemus:1973
26,56,0.3488,90,0.0254,2290,50.7,Altemus:1973
26,56,0.3488,90,0.0563,7310,152,Altemus:1973
26,56,0.3488,90,0.0856,13400,222,Altemus:1973
26,56,0.3488,90,0.0967,14100,232,Altemus:1973
26,56,0.3488,90,0.1022,14500,334,Altemus:1973
26,56,0.3488,90,0.1123,14900,348,Altemus:1973
26,56,0.3488,90,0.1225,14700,365,Altemus:1973
26,56,0.3488,90,0.1326,14100,380,Altemus:1973
26,56,0.3488,90,0.1428,13400,394,Altemus:1973
26,56,0.3488,90,0.1531,12300,339,Altemus:1973
26,56,0.3488,90,0.1633,9950,272,Altemus:1973
26,56,0.3488,90,0.1735,8670,259,Altemus:1973
26,56,0.3488,90,0.1837,8300,255,Altemus:1973
26,56,0.3488,90,0.1941,7750,250,Altemus:1973
26,56,0.3488,90,0.2044,7510,295,Altemus:1973
26,56,0.3488,90,0.2146,7980,421,Altemus:1973
26,56,0.3488,90,0.225,8820,2680,Altemus:1973
26,56,0.3488,90,0.2353,9540,360,Altemus:1973
26,56,0.3488,90,0.2455,10600,444,Altemus:1973
26,56,0.3488,90,0.2558,11900,709,Altemus:1973
26,56,0.3488,90,0.2661,12000,914,Altemus:1973
26,56,0.3488,90,0.2734,13300,1320,Altemus:1973
26,56,0.3488,90,0.2805,14300,1990,Altemus:1973
26,56,0.3686,140,0.0299,8.87,2.21,Altemus:1973
26,56,0.3686,140,0.0501,65.1,6.27,Altemus:1973
26,56,0.3686,140,0.0705,286,14.2,Altemus:1973
26,56,0.3686,140,0.0909,754,34.2,Altemus:1973
26,56,0.3686,140,0.1113,1600,54.7,Altemus:1973
26,56,0.3686,140,0.1317,2480,78.9,Altemus:1973
26,56,0.3686,140,0.1522,3580,103,Altemus:1973
26,56,0.3686,140,0.1633,3720,113,Altemus:1973
26,56,0.3686,140,0.1727,4000,128,Altemus:1973
26,56,0.3686,140,0.1834,3960,130,Altemus:1973
26,56,0.3686,140,0.1933,3820,125,Altemus:1973
26,56,0.3686,140,0.2038,3620,122,Altemus:1973
26,56,0.3686,140,0.2138,3540,126,Altemus:1973
26,56,0.3686,140,0.2344,2960,115,Altemus:1973
26,56,0.3686,140,0.2549,3060,123,Altemus:1973
26,56,0.3686,160,0.1013,602,32.4,Altemus:1973
26,56,0.3686,160,0.1528,2400,108,Altemus:1973
26,56,0.3686,160,0.173,2590,108,Altemus:1973
26,56,0.3686,160,0.1934,2840,230,Altemus:1973
26,56,0.3686,160,0.2139,2620,112,Altemus:1973
26,56,0.3686,160,0.2551,2450,113,Altemus:1973
26,56,0.3726,90,0.0107,191,12.6,Altemus:1973
26,56,0.3726,90,0.0439,2900,67.4,Altemus:1973
26,56,0.3726,90,0.0744,7040,133,Altemus:1973
26,56,0.3726,90,0.105,11200,157,Altemus:1973
26,56,0.3726,90,0.1357,12400,234,Altemus:1973
26,56,0.3726,90,0.1562,11700,245,Altemus:1973
26,56,0.3726,90,0.1767,9460,225,Altemus:1973
26,56,0.3726,90,0.1972,6850,205,Altemus:1973
26,56,0.3726,90,0.2178,6630,191,Altemus:1973
26,56,0.3726,90,0.2383,7560,230,Altemus:1973
26,56,0.3726,90,0.2589,8730,290,Altemus:1973
26,56,0.3726,90,0.2795,10000,416,Altemus:1973
26,56,0.3726,90,0.2899,10600,617,Altemus:1973
26,56,0.3726,90,0.3001,11400,967,Altemus:1973
26,56,0.3726,90,0.3104,12500,1700,Altemus:1973
